"gene_id","hms_id","class_min","Approved.Symbol"
10114,10138,3,"HIPK3"
10188,10138,2,"TNK2"
10298,10138,3,"PAK4"
10461,10138,10,"MERTK"
10494,10138,3,"STK25"
10645,10138,10,"CAMKK2"
10733,10138,2,"PLK4"
10746,10138,1,"MAP3K2"
10769,10138,3,"PLK2"
10783,10138,10,"NEK6"
11011,10138,10,"TLK2"
11040,10138,10,"PIM2"
11113,10138,10,"CIT"
11183,10138,10,"MAP4K5"
11184,10138,10,"MAP4K1"
11200,10138,10,"CHEK2"
11213,10138,10,"IRAK3"
11329,10138,10,"STK38"
22848,10138,2,"AAK1"
22858,10138,10,"ICK"
22983,10138,2,"MAST1"
23012,10138,10,"STK38L"
23043,10138,10,"TNIK"
23097,10138,10,"CDK19"
23235,10138,10,"SIK2"
23387,10138,3,"SIK3"
23396,10138,10,"PIP5K1C"
23604,10138,1,"DAPK2"
23678,10138,10,"SGK3"
23683,10138,3,"PRKD3"
25778,10138,10,"DSTYK"
25865,10138,10,"PRKD2"
25989,10138,3,"ULK3"
26524,10138,10,"LATS2"
26576,10138,3,"SRPK3"
27102,10138,10,"EIF2AK1"
27148,10138,10,"STK36"
27330,10138,2,"RPS6KA6"
27347,10138,3,"STK39"
28996,10138,3,"HIPK2"
29110,10138,3,"TBK1"
30811,10138,10,"HUNK"
50488,10138,10,"MINK1"
51086,10138,10,"TNNI3K"
51135,10138,10,"IRAK4"
51265,10138,10,"CDKL3"
51347,10138,2,"TAOK3"
51701,10138,10,"NLK"
51765,10138,3,"STK26"
53904,10138,10,"MYO3A"
53944,10138,10,"CSNK1G1"
54101,10138,3,"RIPK4"
54861,10138,10,"SNRK"
55351,10138,10,"STK32B"
55561,10138,10,"CDC42BPG"
55589,10138,2,"BMP2K"
55781,10138,3,"RIOK2"
56924,10138,3,"PAK6"
57118,10138,2,"CAMK1D"
57144,10138,3,"PAK5"
57172,10138,3,"CAMK1G"
57396,10138,2,"CLK4"
57551,10138,3,"TAOK1"
57787,10138,10,"MARK4"
65061,10138,10,"CDK15"
65975,10138,10,"STK33"
79837,10138,10,"PIP4K2C"
79858,10138,10,"NEK11"
80122,10138,2,"MAP3K19"
81788,10138,2,"NUAK2"
83732,10138,3,"RIOK1"
83942,10138,10,"TSSK1B"
84254,10138,10,"CAMKK1"
84446,10138,10,"BRSK1"
85366,10138,10,"MYLK2"
85443,10138,2,"DCLK3"
91754,10138,10,"NEK9"
91807,10138,10,"MYLK3"
120892,10138,1,"LRRK2"
122011,10138,10,"CSNK1A1L"
130497,10138,3,"OSR1"
131890,10138,2,"GRK7"
140469,10138,10,"MYO3B"
140609,10138,3,"NEK7"
140803,10138,10,"TRPM6"
140901,10138,10,"STK35"
147746,10138,10,"HIPK4"
150094,10138,10,"SIK1"
166614,10138,2,"DCLK2"
167359,10138,10,"NIM1K"
202374,10138,10,"STK32A"
204851,10138,3,"HIPK1"
225689,10138,10,"MAPK15"
255239,10138,2,"ANKK1"
282974,10138,10,"STK32C"
284086,10138,10,"NEK8"
285220,10138,10,"EPHA6"
340156,10138,10,"MYLK4"
341676,10138,10,"NEK5"
388228,10138,3,"SBK1"
389840,10138,3,"MAP3K15"
415116,10138,10,"PIM3"
440275,10138,10,"EIF2AK4"
494551,10138,10,"WEE2"
728642,10138,10,"CDK11A"
812762,10138,10,NA
887072,10138,3,NA
100124696,10138,10,NA
100130827,10138,3,"SBK3"
106821730,10138,3,NA
3717,10139,1,"JAK2"
3718,10139,3,"JAK3"
4914,10139,1,"NTRK1"
6774,10139,1,"STAT3"
6776,10139,1,"STAT5A"
92,10140,10,"ACVR2A"
207,10140,10,"AKT1"
208,10140,10,"AKT2"
238,10140,10,"ALK"
640,10140,10,"BLK"
659,10140,10,"BMPR2"
660,10140,10,"BMX"
695,10140,10,"BTK"
780,10140,10,"DDR1"
814,10140,10,"CAMK4"
1018,10140,10,"CDK3"
1020,10140,10,"CDK5"
1024,10140,10,"CDK8"
1111,10140,10,"CHEK1"
1147,10140,2,"CHUK"
1198,10140,10,"CLK3"
1432,10140,10,"MAPK14"
1445,10140,10,"CSK"
1452,10140,10,"CSNK1A1"
1453,10140,10,"CSNK1D"
1454,10140,10,"CSNK1E"
1455,10140,10,"CSNK1G2"
1456,10140,10,"CSNK1G3"
1956,10140,10,"EGFR"
1969,10140,10,"EPHA2"
2041,10140,10,"EPHA1"
2043,10140,10,"EPHA4"
2044,10140,10,"EPHA5"
2045,10140,10,"EPHA7"
2046,10140,10,"EPHA8"
2047,10140,10,"EPHB1"
2048,10140,10,"EPHB2"
2049,10140,10,"EPHB3"
2050,10140,10,"EPHB4"
2065,10140,10,"ERBB3"
2066,10140,10,"ERBB4"
2081,10140,10,"ERN1"
2185,10140,10,"PTK2B"
2241,10140,10,"FER"
2242,10140,10,"FES"
2260,10140,10,"FGFR1"
2261,10140,10,"FGFR3"
2264,10140,10,"FGFR4"
2268,10140,10,"FGR"
2444,10140,10,"FRK"
2475,10140,10,"MTOR"
2534,10140,10,"FYN"
2931,10140,10,"GSK3A"
2932,10140,10,"GSK3B"
3055,10140,10,"HCK"
3480,10140,10,"IGF1R"
3645,10140,10,"INSRR"
3702,10140,10,"ITK"
3716,10140,1,"JAK1"
