ID	symbol	synonyms	ensembl
41187941	Tuba1b-ps3	LOC120098172	
41188203	LOC120095275		
41188207	LOC120100368	AC098942.1	ENSRNOG00000060473
41188210	Trnaa-agc97	NEWGENE_40934091;Trnaa-agc	
41188211	Eif3m-ps1	ENSRNOG00000063714;LOC120096283	ENSRNOG00000063714
41188316	LOC120099706		
41188349	LOC120095895		
41188357	Rpl13a-ps7	LOC120097176	
41188358	LOC120102768	U2	ENSRNOG00000070231
41188497	LOC120095741		ENSRNOG00000064725
41188559	LOC120100227	SNORD29	ENSRNOG00000058132
41188692	Sgcb-ps1	LOC120099212	
41188693	LOC120094281		
41188737	LOC120102826		
41188743	LOC120095096		
41188929	LOC120094859	U6	ENSRNOG00000055628
41188942	LOC120102576		ENSRNOG00000065485
41188976	LOC120093644		
41188981	Ddx41-ps1	LOC120103586	
41189039	Rpl12-ps13	LOC120103182	
41189202	LOC120098524		
41189227	LOC120096526		
41189254	LOC120103554		
41189376	LOC120097230		ENSRNOG00000068573
41189379	LOC120094203		
41189384	LOC120096061	5S_rRNA	ENSRNOG00000062504
41189413	LOC120093406	AABR07065531.29;DQ267100	ENSRNOG00000060706
41189416	LOC120094799		
41189455	LOC120095199		
41189467	LOC120097896		
41189502	LOC120099875		
41189848	LOC120102020	AC110403.2	ENSRNOG00000060569
41189851	LOC120096611		
41190036	LOC120096328		
41190272	LOC120098894		
41190492	LOC120099049	U6	ENSRNOG00000059933
41190503	LOC120100693		
41190543	LOC120103584		ENSRNOG00000062977;ENSRNOG00000065431
41190574	Coa6-ps2	LOC120093653	
41190661	Trnas-aga22	NEWGENE_40938314;Trnas-aga	
41190690	LOC120094844		
41190846	LOC120098711		ENSRNOG00000066443
41191110	LOC120095731		ENSRNOG00000070665
41191145	LOC120096759	U6	ENSRNOG00000061258
41191257	Trnat-agu26	NEWGENE_6576114;Trnat-agu	
41191342	LOC120098146		
41191557	LOC120094170		
41191606	Rps13-ps5	LOC120101049	
41191607	Rnu6-546	LOC120100170;U6	ENSRNOG00000058299
41191641	LOC120098380	AABR07032623.1	ENSRNOG00000056815
41191644	Trnaa-agc50	NEWGENE_40934091;Trnaa-agc	
41191688	Rpl18-ps13	LOC120099180	
41191761	Mt1-ps4	LOC120103577	
41191856	LOC120101085		
41191904	LOC120101227		ENSRNOG00000070258
41191940	LOC120102017	AC111292.2	ENSRNOG00000053480
41192036	LOC120103344	U2	ENSRNOG00000069331
41192037	LOC120094138		
41192041	Trnas-aga24	NEWGENE_40938314;Trnas-aga	
41192048	LOC120101798		
41192096	LOC120097665	SNORA71	ENSRNOG00000060263
41192109	LOC120097081		
41192126	Rpl27-ps8	LOC120098981	
41192127	LOC120099436	U1	ENSRNOG00000055960
41192130	Nid2-ps5	LOC120099101	
41192158	Vmn2r116l-ps18	LOC120099245	
41192173	LOC120094365		ENSRNOG00000062569
41192184	LOC120096568		
41192253	LOC120096657		
41192302	LOC120095726	SNORA63	ENSRNOG00000056834
41192305	LOC120096287		
41192492	Rpl19-ps5	LOC120101571	
41192509	LOC120093462	AABR07064122.1	ENSRNOG00000053020
41192681	LOC120096338		
41192693	LOC120099468	AABR07039342.1	ENSRNOG00000051644
41192708	LOC120100172	U6	ENSRNOG00000057140
41192745	LOC120094055		ENSRNOG00000068939
41192800	LOC120094723		
41192836	Gapdh-ps32	LOC120093768	
41192929	LOC120099438	U7	ENSRNOG00000067534
41193020	Snord121a	Gm24837;LOC120103357	ENSRNOG00000053973
41193039	LOC120101914		
41193066	LOC120098272		
41193082	LOC120094159		
41193090	LOC120100789		
41193095	LOC120103080		
41193151	LOC120102737		ENSRNOG00000065973
41193271	LOC120093937		ENSRNOG00000062476
41193295	LOC120096448	U6	ENSRNOG00000060764
41193345	LOC120101301	Gm24472	ENSRNOG00000057431
41193354	LOC120102493		
41193472	LOC120097862		
41193534	Znf8	Zfp128	ENSRNOG00000031459
41193585	LOC120096926		
41193674	LOC120094226		
41193729	LOC120098949		
41193840	LOC120096854	U3	ENSRNOG00000067871
41193841	LOC120098286		
41193915	LOC120096699		
41193953	LOC120102686	AABR07062314.1	ENSRNOG00000060592
41194153	Rnu6-81	LOC120100181;U6	ENSRNOG00000052503
41194366	LOC120100356	U2	ENSRNOG00000069774
41194368	LOC120093500	U4	ENSRNOG00000053000
41194476	LOC120093299		ENSRNOG00000064684
41194492	LOC120098746	U6	ENSRNOG00000060531
41194566	Sry3b1	LOC120099633;Sry3BI	ENSRNOG00000064645;ENSRNOG00000066009;ENSRNOG00000066858;ENSRNOG00000068692
41194726	LOC120099792		
41194760	LOC120103283	AC114512.2	ENSRNOG00000060810
41194781	LOC120103371		ENSRNOG00000067423
41194899	LOC120103068		
41194913	Rnu6-641	LOC120101939	ENSRNOG00000068132
41195021	Pkm-ps3	LOC120096212	
41195085	LOC120102492		
41195182	LOC120096864	U4	ENSRNOG00000057388
41195287	Rps2-ps34	LOC120097093	
41195301	LOC120095830		
41195318	LOC120098867		
41195353	LOC120099189		ENSRNOG00000064144;ENSRNOG00000070796
41195488	LOC120101600		
41195544	Rnu5e-5	LOC120101134;U5	ENSRNOG00000052749
41195547	LOC120097740		
41195560	LOC120093473	AABR07063255.1	ENSRNOG00000052183
41195593	LOC120101813		
41195602	LOC120093317	SNORA73	ENSRNOG00000057513
41195611	LOC120097233	AABR07017104.1	ENSRNOG00000053976
41195614	LOC120099384		
41195642	LOC120102763	U2	ENSRNOG00000062571
41195695	LOC120093493	U3	ENSRNOG00000070179
41195735	LOC120095352	U6	ENSRNOG00000063001
41195736	LOC120101030		
41195793	LOC120102315		
41195836	LOC120093301	U6	ENSRNOG00000061659
41195942	LOC120098787		
41195948	LOC120098936		
41195959	Runx1t1l	LOC120102834	
41196182	LOC120102769		ENSRNOG00000068295
41196198	LOC120097957		
41196387	Trnaa-agc58	NEWGENE_40934091;Trnaa-agc	
41196388	LOC120102291		
41196392	LOC120102488		
41196423	Trnav-aac16	NEWGENE_40933816;Trnav-aac	
41196429	LOC120100053		
41196480	LOC120096761	U6	ENSRNOG00000052335
41196493	Prelid1-ps2	LOC120097940	
41196543	LOC120097600	AABR07025594.2	ENSRNOG00000060692
41196598	LOC120093384	ENSRNOG00000063962	ENSRNOG00000063962
41196986	LOC120101348	ENSRNOG00000068641	ENSRNOG00000068641
41196987	LOC120093049	AABR07031780.1	ENSRNOG00000059289
41197062	LOC120096455	U6	ENSRNOG00000052863
41197070	LOC120100419	Gm25860	ENSRNOG00000060119
41197090	Sft2d2-ps1	LOC120097071	
41197145	LOC120098016	U2	ENSRNOG00000064651
41197209	LOC120101748		
41197309	LOC120096244		
41197324	LOC120103332	AABR07048726.1	ENSRNOG00000058797
41197327	LOC120099024	AABR07044703.1	ENSRNOG00000056074
41197328	Glrx-ps11	LOC120099612	
41197473	LOC120098668	U6	ENSRNOG00000058844
41197514	LOC120093275	5S_rRNA	ENSRNOG00000058198
41197609	LOC120094125		
41197673	LOC120095381	U7	ENSRNOG00000061482
41197686	Rnu6-233	LOC120103216;U6	ENSRNOG00000054162
