CAS	CHEBI
1078-38-2	7207
1078-58-6	51499
1078-61-1	48400
107817-60-7	9697
107868-30-4	4953
108-01-0	271436
108-05-4	46916
108-10-1	82344
108-19-0	18138
108-21-4	48942
108-24-7	36610
108-25-8	82248
108-28-1	28906
108-29-2	48569
108-30-5	36595
108-31-6	474859
108-36-1	37151
108-38-3	28488
108-39-4	17231
108-43-0	38855
108-45-2	8092
108-46-3	27810
108-48-5	32548
108-50-9	89791
108-53-2	55502
108-60-1	82409
108-62-3	81931
108-64-5	31571
108-67-8	34833
108-68-9	38572
108-70-3	49916
108-72-5	38754
108-73-6	16204
108-77-0	58964
108-78-1	27915
108-80-5	38028
108-80-5	17696
108-86-1	3179
108-88-3	17578
108-89-4	32547
108-90-7	28097
108-91-8	15773
108-93-0	18099
108-94-1	17854
108-95-2	15882
108-96-3	133125
108-97-4	37966
108-98-5	48498
108-99-6	39922
1080-04-2	35422
1080-06-4	17215
1080-12-2	81361
108068-98-0	85085
1081-34-1	10335
1081-50-1	80618
1081-71-6	88402
1081-75-0	34060
108102-51-8	324935
108147-54-2	135923
108153-74-8	135913
108168-60-1	44158
108173-90-6	82843
1082-57-1	134893
108212-75-5	3319
108249-27-0	22893
1083-30-3	71231
1083-57-4	31311
1083076-69-0	90932
1083171-75-8	133247
108319-06-8	77788
108320-97-4	74854
108333-83-1	4002
108335-27-9	5065
108354-12-7	131528
108354-13-8	2921
108354-14-9	90888
108354-15-0	90924
108365-87-3	52114
1084-65-7	31839
108418-13-9	83318
108437-64-5	34151
1085-12-7	34788
1085-98-9	74875
1086-02-8	82073
1086-80-2	17781
108605-70-5	2939
108612-45-9	31857
108636-29-9	61537
108648-07-3	8644
1086696-26-5	78829
108687-79-2	34541
108731-70-0	138164
108736-35-2	135901
108785-69-9	134702
1088-11-5	111762
1088-56-8	43661
1088-92-2	88255
108808-60-2	63531
108808-61-3	63518
108852-90-0	42053
108885-67-2	50377
108885-68-3	9388
108906-67-8	68800
108906-68-9	68720
108907-43-3	136552
108909-05-3	17875
1089188-08-8	73554
108929-04-0	31533
108930-17-2	82739
109-00-2	87440
109-04-6	51574
109-06-8	50415
109-08-0	89015
109-09-1	39174
109-12-6	38618
109-19-3	89723
109-21-7	87429
109-46-6	138415
109-52-4	17418
109-57-9	74079
109-60-4	40116
109-66-0	37830
109-72-8	51469
109-73-9	43799
109-74-0	51937
109-76-2	15725
109-77-3	33186
109-80-8	44864
109-83-1	21763
109-84-2	50098
109-86-4	46790
109-87-5	48341
109-89-7	85259
109-90-0	85107
109-93-3	81293
109-94-4	52342
109-96-6	20198
109-97-7	19203
109-99-9	26911
1090-04-6	79763
1090-13-7	51287
109028-10-6	64053
1091-93-6	34341
109138-72-9	37032
1092-04-2	79760
1092351-67-1	90679
109250-95-5	40677
1092797-43-7	66574
109291-57-8	4377
1092939-17-7	66917
109296-10-8	77419
1093-07-8	6705
1093-58-9	135372
1093-99-8	79761
1093067-85-6	66144
109333-26-8	73294
109376-83-2	78761
1094-08-2	31568
1094-61-7	16171
1094-76-4	53080
1095-90-5	50140
109511-58-2	64208
109552-15-0	7904
109581-73-9	9423
109581-93-3	61057
1096-38-4	18204
1096-39-5	79762
1096-58-8	70033
109621-33-2	5822
109664-01-9	66098
1097-51-4	34167
109781-47-7	52247
1098-45-9	34464
1098-60-8	9712
1098-97-1	135554
1098081-38-9	68730
109889-09-0	5537
1099-87-2	91028
109905-63-7	83791
109922-46-5	2215
109929-98-8	59935
109946-35-2	9414
109974-21-2	132619
109985-90-2	3425
109985-92-4	3426
109985-95-7	3427
110-00-9	35559
110-01-0	48458
110-02-1	30856
110-12-3	88432
110-13-4	85014
110-15-6	15741
110-16-7	18300
110-17-8	18012
110-18-9	32850
110-19-0	50569
110-27-0	90027
110-38-3	87430
110-39-4	89726
110-43-0	5672
110-44-1	38358
110-45-2	31726
110-46-3	2691
110-54-3	29021
110-57-6	82446
110-58-7	74848
110-60-1	17148
110-62-3	84069
110-63-4	41189
110-65-6	16413
110-68-9	59019
110-69-0	59012
110-71-4	42263
110-80-5	46788
110-82-7	29005
110-83-8	36404
110-85-0	28568
110-86-1	16227
110-88-3	38043
110-89-4	18049
110-90-7	38027
110-91-8	34856
110-93-0	16310
110-94-1	17859
11000-17-2	9937
11000-26-3	26333
110011-49-9	6461
110011-82-0	88320
1100225-71-5	66115
11003-38-6	3371
11003-57-9	37628
1100362-75-1	67853
1100362-76-2	67854
1100362-78-4	67856
1100362-80-8	67855
1100362-85-3	67851
1100362-86-4	67852
110044-82-1	2423
11006-66-9	29668
11006-76-1	87209
11006-83-0	48516
110064-53-4	46707
110071-67-5	132873
110078-46-1	125354
1100821-18-8	68238
1100821-43-9	68244
1100821-65-5	68245
1101-84-4	42024
110101-66-1	135853
110101-67-2	32233
11011-72-6	81193
110115-07-6	7209
11013-97-1	81056
110140-89-1	135542
11015-37-5	28908
11015-84-2	77735
11017-56-4	9290
110187-23-0	132613
110187-42-3	134625
11021-13-9	77152
11021-14-0	77154
110219-89-1	2856
110219-94-8	1728
110221-44-8	32190
110221-53-9	9436
110230-98-3	135875
110231-93-1	60288
110235-47-7	6751
11024-24-1	27729
110267-81-7	135779
110268-98-9	78256
11027-63-7	2515
110282-66-1	69428
11029-06-4	132830
11029-12-2	36121
11029-72-4	80869
110298-84-5	16155
1103-58-8	68347
1103-58-8	91172
1103-85-1	132705
110319-64-7	48012
110319-65-8	48013
11032-49-8	16374
11032-98-7	4452
11033-22-0	16213
11034-93-8	18259
11034-93-8	132968
11034-94-9	5602
110342-24-0	3937
110347-85-8	34973
110352-77-7	8997
11040-28-1	33203
110417-88-4	67357
11042-64-1	32345
11042-69-6	8340
110429-35-1	7944
11047-01-1	48081
110488-70-5	81848
11049-05-1	6352
11049-15-3	17371
110493-31-7	57969
11050-21-8	36467
11050-94-5	7751
11051-90-4	81180
11052-72-5	7752
11055-93-9	9517
11056-06-7	3139
11056-20-5	67811
11062-77-4	18421
110683-10-8	139349
1107-26-2	53154
11070-68-1	29985
11076-17-8	52549
11076-19-0	77742
11079-53-1	5834
1108-68-5	80806
110816-79-0	31438
110846-93-0	35999
110871-86-8	9212
1108716-12-6	66047
1108716-13-7	66043
1108717-51-6	66560
1108717-54-9	66561
1108717-55-0	66562
1108717-56-1	66563
1108717-59-4	66564
1108717-65-2	66609
1108717-70-9	66565
1108717-71-0	66566
1108717-72-1	66567
1108717-75-4	66568
1108717-80-1	66570
11088-09-8	132150
11089-65-9	29699
1109-28-0	61993
11091-27-3	5375
11091-29-5	5374
11091-33-1	29706
1109227-91-9	65939
110952-54-0	34598
110956-75-7	81852
110958-19-5	31592
11096-26-7	81579
11097-69-1	63933
11097-82-8	28417
110979-06-1	3885
11098-86-5	35458
110990-41-5	138247
110996-52-6	10087
111-02-4	15440
111-03-5	75342
111-06-8	132549
111-11-5	87432
111-13-7	87434
111-14-8	45571
111-16-0	30531
111-20-6	41865
111-23-9	84338
111-26-2	5712
111-27-3	87393
111-30-8	64276
111-35-3	87489
111-36-4	136519
111-40-0	30629
111-42-2	28123
111-44-4	34573
111-46-6	46807
111-48-8	75184
111-49-9	32616
111-54-6	83986
111-57-9	85299
111-58-0	71466
111-61-5	84936
111-62-6	84940
111-65-9	17590
111-66-0	46708
111-71-7	34787
111-74-0	182290
111-76-2	63921
111-77-3	44836
111-80-8	51749
111-81-9	87493
111-82-0	87494
111-84-2	32892
111-86-4	7728
111-87-5	16188
111-90-0	40572
111-96-6	46784
1110-02-7	3949
1110-40-3	135820
1110-56-1	67311
1110-80-1	75262
111004-08-1	60961
111011-53-1	31532
111011-63-3	135859
111025-46-8	8228
11103-57-4	17336
11104-59-9	35404
111050-72-7	64598
1110766-97-6	136051
1110813-31-4	132268
