CHEBI	CHEMBL
5517	CHEMBL513752
5520	CHEMBL1007
5521	CHEMBL1200516
5522	CHEMBL512401
5523	CHEMBL1201247
5525	CHEMBL402915
5528	CHEMBL500045
5530	CHEMBL373496
5534	CHEMBL3327187
5537	CHEMBL1290003
5541	CHEMBL1371756
5542	CHEMBL3085397
5543	CHEMBL583
5544	CHEMBL2074711
5545	CHEMBL451044
5547	CHEMBL271958
5550	CHEMBL1408759
5551	CHEMBL980
5552	CHEMBL226915
5553	CHEMBL420
5554	CHEMBL1200560
5555	CHEMBL1037
5556	CHEMBL3184143
5557	CHEMBL765
5558	CHEMBL862
5559	CHEMBL1200494
5569	CHEMBL102276
5576	CHEMBL76768
5580	CHEMBL2386825
5587	CHEMBL1208642
5597	CHEMBL2368199
