C003771	9060-05-3
C003774	26603-36-1
C003778	12764-56-6
C003783	3275-95-4
C003799	8068-83-5
C003800	37341-77-8
C003804	24643-76-3
C003807	8075-86-3
C003816	36431-52-4
C003820	11100-47-3
C003824	25901-35-3
C003826	18705-22-1
C003828	12770-95-5
C003833	23471-35-4
C003834	21340-66-9
C003849	1052-92-2
C003850	40096-00-2
C003855	40957-88-8
C003856	28241-21-6
C003858	78717-58-5
C003859	5271-38-5
C003860	6129-38-0
C003861	35460-46-9
C003862	42155-80-6
C003865	35068-28-1
C003867	15571-58-1
C003873	6859-47-8
C003875	4878-36-8
C003876	40704-74-3
C003879	6089-09-4
C003881	41408-19-9
C003882	32744-72-2
C003886	30343-70-5
C003888	40550-30-9
C003891	30514-93-3
C003892	1867-33-0
C003895	40155-15-5
C003896	52342-56-0
C003902	18966-32-0
C003912	39453-46-8
C003914	581-97-5
C003917	61152-56-5
C003918	1620-24-2
C003923	6050-71-1
C003925	15546-43-7
C003931	38566-54-0
C003932	38561-87-4
C003933	18119-52-3
C003946	12725-34-7
C003948	53568-84-6
C003951	13366-43-3
C003954	58823-12-4
C003958	41460-86-0
C003960	8064-51-5
C003961	41094-07-9
C003962	78737-63-0
C003963	40951-29-9
C003964	15867-02-4
C003965	10414-81-0
C003966	31249-34-0
C004155	39013-26-8
C004156	7771-22-4
C004157	16273-11-3
C004161	33993-68-9
C004162	33993-67-8
C004163	41942-94-3
C004164	41536-84-9
C004165	40217-50-3
C004166	40041-96-1
C004167	40041-95-0
C004171	79102-49-1
C004174	16055-12-2
C004175	35847-78-0
C004177	13205-57-7
C004184	20354-26-1
C004186	38769-36-7
C004187	38769-25-4
C004191	4756-13-2
C004193	22917-75-5
C004194	29816-01-1
C004196	42589-01-5
C004197	13028-62-1
C004200	525-05-3
C004204	2277-23-8
C004214	31843-68-2
C004216	50813-74-6
C004220	40642-85-1
C004221	37683-44-6
C004222	41459-53-4
C004224	62449-23-4
C004225	31883-21-3
C004226	544-57-0
C004227	8001-24-9
C004230	58252-27-0
C004232	42612-66-8
C004233	51819-38-6
C004250	548-90-3
C004251	302-97-6
C004255	41998-32-7
C004256	1336-78-3
C004258	22026-39-7
C004259	4649-12-1
C004264	40027-72-3
C004265	36753-68-1
C004266	1069-54-1
C004267	280-64-8
C004268	19918-85-5
C004269	431-35-6
C004270	22084-79-3
C004271	35666-27-4
C004274	5580-20-1
C004275	9012-87-7
C004276	21064-18-6
C004277	1892-21-3
C004281	23043-37-0
C004283	17750-23-1
C004287	25100-55-4
C004296	52-61-9
C004372	327-98-0
C004374	2824-50-2
C004376	21722-66-7
C004378	13957-35-2
C004382	5189-40-2
C004397	13838-02-3
C004406	11002-83-8
C004420	2380-63-4
C004438	595-81-3
C004439	11002-15-6
C004441	11002-17-8
C004450	13838-08-9
C004475	99-03-6
C004506	30241-86-2
C004543	42729-95-3
C004548	34145-17-0
C004549	41945-37-3
C004551	7365-44-8
C004553	459-64-3
C004556	43054-35-9
C004557	11051-88-0
C004559	7436-62-6
C004561	54692-74-9
C004564	19666-76-3
