Source Code	Target Coding Scheme	Target Code
C111839	HGNC	14466
C111843	HGNC	3390
C111845	HGNC	11761
C111848	HGNC	18044
C111851	HGNC	19412
C111863	HGNC	3071
C111867	HGNC	6430
C111870	HGNC	10698
C111873	HGNC	396
C111876	HGNC	797
C111879	HGNC	2892
C111882	HGNC	2894
C111917	HGNC	22943
C111920	HGNC	22948
C111923	HGNC	14927
C111926	HGNC	1884
C111929	HGNC	16806
C111932	HGNC	18280
C111935	HGNC	7112
C111938	HGNC	21100
C111941	HGNC	23846
C111953	HGNC	2024
C111956	HGNC	19876
C111961	HGNC	25674
C111975	HGNC	19866
C111978	HGNC	33738
C111981	HGNC	30869
C112054	HGNC	29599
C112063	HGNC	28984
C112067	HGNC	11387
C112070	HGNC	18831
C112073	HGNC	4635
C112076	HGNC	9545
C112079	HGNC	9538
C112082	HGNC	18798
C112085	HGNC	14298
C112089	HGNC	25216
C112097	HGNC	28224
C112100	HGNC	1473
C112102	HGNC	380
C112106	HGNC	23177
C112109	HGNC	9599
C112120	HGNC	4606
C112125	HGNC	6570
C112128	HGNC	3070
C112131	HGNC	7567
C112134	HGNC	7572
C112137	HGNC	6470
C112140	HGNC	11566
C112143	HGNC	12652
C112146	HGNC	6663
C112149	HGNC	3748
C112152	HGNC	6413
C112155	HGNC	24337
C112158	HGNC	24338
C112484	HGNC	31599
C112487	HGNC	8541
C112490	HGNC	29349
C112493	HGNC	12517
C112502	HGNC	2849
C112505	HGNC	7376
C112511	HGNC	7984
C112514	HGNC	7943
C112823	HGNC	5112
C112830	HGNC	2314
C112838	HGNC	9755
C112868	HGNC	12875
C112871	HGNC	8826
C112874	HGNC	2705
C112877	HGNC	5381
C112880	HGNC	5329
C112891	HGNC	934
C112894	HGNC	933
C112897	HGNC	19246
C112900	HGNC	28707
C112903	HGNC	8624
C112907	HGNC	15924
C112916	HGNC	24953
C112920	HGNC	11200
C113082	HGNC	6889
C113087	HGNC	16390
C113108	HGNC	29884
C113111	HGNC	28116
C113115	HGNC	4462
C113118	HGNC	15768
C113123	HGNC	12010
C113128	HGNC	23214
C113131	HGNC	25126
C113134	HGNC	30880
C113138	HGNC	18536
C113141	HGNC	23572
C113158	HGNC	1142
C113166	HGNC	5208
C113218	HGNC	16952
C113222	HGNC	12640
C113225	HGNC	12735
C113228	HGNC	16877
C113231	HGNC	31630
C113234	HGNC	29401
C113253	HGNC	6375
C113256	HGNC	14601
C113259	HGNC	727
C113262	HGNC	2464
C113265	HGNC	259
C113270	HGNC	6623
C113274	HGNC	28506
C113277	HGNC	19129
C113280	HGNC	28636
C113283	HGNC	23510
C113286	HGNC	14198
C113291	HGNC	24662
C113300	HGNC	6694
C113306	HGNC	25139
C113310	HGNC	7532
C113313	HGNC	9223
C113316	HGNC	2654
C113319	HGNC	11002
C113322	HGNC	16484
C113325	HGNC	1441
C113328	HGNC	71
C113520	HGNC	7050
C113523	HGNC	5713
C113527	HGNC	11049
C113528	HGNC	24574
C113532	HGNC	1380
C113535	HGNC	18396
C113538	HGNC	8010
C113541	HGNC	14963
C113544	HGNC	18990
C113548	HGNC	1944
C113549	HGNC	12555
C113553	HGNC	10738
C113556	HGNC	9205
C113559	HGNC	30367
C113562	HGNC	10967
C113565	HGNC	25588
C113568	HGNC	26439
C113571	HGNC	23097
C113574	HGNC	30072
C113577	HGNC	31911
C113580	HGNC	3363
C113583	HGNC	2296
C113586	HGNC	3754
C113590	HGNC	9958
C113593	HGNC	17190
C113596	HGNC	19687
C113600	HGNC	73
C113603	HGNC	4887
C113606	HGNC	13315
C113610	HGNC	33843
C113613	HGNC	3449
C113617	HGNC	791
C113620	HGNC	2890
C113623	HGNC	4740
C113626	HGNC	9106
C113629	HGNC	8977
C113633	HGNC	12536
C113636	HGNC	4838
C113639	HGNC	957
C113642	HGNC	20389
C113688	HGNC	32979
C113758	HGNC	9475
C113761	HGNC	4765
C113763	HGNC	799
C113766	HGNC	816
C113770	HGNC	1391
C113819	HGNC	5171
C113822	HGNC	349
C113831	HGNC	3395
C113836	HGNC	19372
C114304	HGNC	2538
C114307	HGNC	30425
C114313	HGNC	14062
C114317	HGNC	6295
C114320	HGNC	360
C114323	HGNC	8821
C114326	HGNC	17794
C114329	HGNC	4404
C114332	HGNC	4403
C114335	HGNC	19663
C114338	HGNC	9401
C114341	HGNC	9199
C114349	HGNC	4389
C114352	HGNC	11767
C114356	HGNC	6887
C114362	HGNC	8974
C114365	HGNC	5213
C114368	HGNC	5217
C114392	HGNC	13538
C114395	HGNC	24255
C114399	HGNC	11487
C114402	HGNC	25413
C114407	HGNC	16356
C114411	HGNC	9107
C114414	HGNC	29116
C114417	HGNC	11720
C114422	HGNC	28115
C114425	HGNC	30580
C114428	HGNC	14472
C114431	HGNC	16511
C114434	HGNC	10884
C114437	HGNC	10253
C114440	HGNC	21698
C114443	HGNC	24499
C114446	HGNC	9907
C114449	HGNC	14219
C114453	HGNC	9848
C114482	HGNC	16404
C114486	HGNC	13632
C114509	HGNC	5724
C114512	HGNC	197
C114515	HGNC	3084
C114518	HGNC	16005
C114521	HGNC	4882
C114524	HGNC	11553
C114527	HGNC	4594
C114530	HGNC	4595
C114533	HGNC	4596
C114536	HGNC	4599
C114539	HGNC	4600
C114543	HGNC	9391
C114546	HGNC	9042
C114554	HGNC	18053
C114557	HGNC	8794
C114564	HGNC	30032
C114569	HGNC	6954
C114572	HGNC	25193
C114577	HGNC	6181
C114584	HGNC	25048
C114590	HGNC	14569
C114602	HGNC	4369
C114605	HGNC	29363
C114608	HGNC	15767
C114611	HGNC	28844
C114614	HGNC	23147
C114616	HGNC	21874
C114620	HGNC	11429
C114623	HGNC	11445
C114626	HGNC	13280
C114630	HGNC	24656
C114633	HGNC	2685
C114644	HGNC	17449
C114654	HGNC	21101
C114658	HGNC	7057
C114661	HGNC	30000
C114664	HGNC	13534
C114673	HGNC	16040
C114682	HGNC	21496
C114689	HGNC	20886
C114693	HGNC	99
C114701	HGNC	23339
C114732	HGNC	30321
C114735	HGNC	23293
C114738	HGNC	11503
C114741	HGNC	13075
C114744	HGNC	13787
C114747	HGNC	8812
C114804	HGNC	434
C114811	HGNC	10597
C114815	HGNC	14621
C114818	HGNC	14497
C114823	HGNC	11827
C114826	HGNC	20234
C114834	HGNC	18122
C114894	HGNC	11259
C114897	HGNC	11261
C114911	HGNC	7967
C114920	HGNC	21876
C114925	HGNC	8021
C114942	HGNC	2652
C114946	HGNC	25752
C114953	HGNC	3342
C114958	HGNC	4901
C114996	HGNC	493
C114999	HGNC	18801
C115002	HGNC	12011
C115005	HGNC	12611
C115008	HGNC	9400
C115011	HGNC	13721
C115014	HGNC	12698
C115017	HGNC	5295
C115021	HGNC	11007
C115024	HGNC	23093
C115027	HGNC	5395
C115065	HGNC	5099
C115068	HGNC	17175
C115078	HGNC	30579
C115081	HGNC	11838
C115084	HGNC	11840
C115114	HGNC	2389
C115167	HGNC	330
C115171	HGNC	4274
C115174	HGNC	21625
C115177	HGNC	3308
C115180	HGNC	9255
C115183	HGNC	7178
C115186	HGNC	7512
C115189	HGNC	11756
C115193	HGNC	18809
C115254	HGNC	5391
C115259	HGNC	8764
C115267	HGNC	18707
C115278	HGNC	12556
C115284	HGNC	10011
C115311	HGNC	17575
C115314	HGNC	1763
C115317	HGNC	14010
C115324	HGNC	20951
C115329	HGNC	4381
C115354	HGNC	4718
C115378	HGNC	7539
C115383	HGNC	9896
C115422	HGNC	11617
C115425	HGNC	777
C115437	HGNC	20250
C115963	HGNC	15840
C115971	HGNC	24456
C115974	HGNC	16067
C115983	HGNC	20565
C115987	HGNC	4790
C115990	HGNC	25843
C115995	HGNC	16863
C116023	HGNC	6501
C116026	HGNC	19382
C116029	HGNC	24191
C116032	HGNC	9376
C116035	HGNC	1863
C116038	HGNC	1864
C116041	HGNC	6718
C116044	HGNC	10780
C116048	HGNC	9204
C116051	HGNC	23845
C116054	HGNC	19191
C116057	HGNC	402
C116060	HGNC	11938
C116079	HGNC	25727
C116083	HGNC	1249
C116086	HGNC	25249
C116089	HGNC	3403
C116092	HGNC	660
C116099	HGNC	28678
C116273	HGNC	9061
C116276	HGNC	6493
C116279	HGNC	16846
C116285	HGNC	33510
C116294	HGNC	9237
C116297	HGNC	23805
C116300	HGNC	24212
C116303	HGNC	5122
C116306	HGNC	6865
C116309	HGNC	11187
C116409	HGNC	29
C116412	HGNC	28084
C116415	HGNC	7467
C116418	HGNC	600
C116421	HGNC	10535
C116424	HGNC	13815
C116427	HGNC	248
C116578	HGNC	16
C116581	HGNC	4330
C116586	HGNC	6600
C116590	HGNC	6764
