CHEBI	PUBCHEM
3172	92740966
3173	92740973
3174	223439142
3175	56464105
3176	29214990
3179	8147038
3181	49658626
3182	49658625
3183	92729935
3184	92740992
3185	223439143
3186	223439144
3187	8145875
3188	223439145
3189	223439146
3190	223439147
3192	223439148
3193	223439149
3194	223439150
3195	223439151
3196	223439152
3197	223439153
3198	223439154
3199	223439155
3201	223439157
3202	223439158
3203	223439159
3204	223439160
3205	56464104
3206	164174532
3207	56394980
3208	223439161
3209	223439162
3210	46530531
3211	223439121
3212	223439163
3213	92729936
3214	223439164
3216	92729937
3218	26676098
3219	17425136
3221	223439165
3222	164174533
3223	11533496
3224	56464103
3228	8145874
3230	223439166
3231	223439167
3232	223439168
3237	135610162
3238	92729938
3240	92729939
3241	92740974
3242	92729940
3243	92729941
3244	223439169
3245	8145873
3246	223439170
3247	223439171
3248	223439172
3249	223439173
3250	223439174
3251	223439175
3252	223439176
3253	223439177
3254	223439178
3258	223439179
3259	8145872
3276	223439180
3281	223439181
3284	223439182
3286	92740959
3287	223439183
3289	223439184
3291	223439185
3293	223439186
3299	223439187
3300	223439188
3302	223439189
3303	223438259
3305	223439190
3306	160644690
3309	223439191
3310	92740976
3311	8145871
3312	8145870
3314	92740977
3318	223439192
3319	135610080
3321	223439193
3322	223439194
3323	223439195
3327	223439122
3328	223439196
3329	223439197
3330	223439198
3331	223439199
3332	26675650
3333	26675649
3336	223439200
3337	223439201
3338	223439202
3339	223439203
3340	223439204
3341	223439205
3344	223439206
3346	223439207
3347	11533318
3348	223439208
3349	99319102
3350	223439209
3352	223439210
3353	92729942
3354	92729943
3355	223439211
3356	223439212
3357	223439213
3359	160644691
3360	223439214
3361	223439215
3362	135668164
3363	160709392
3364	223439216
3365	223439217
3366	223439218
3367	223439219
3368	223439220
3369	57269560
3371	223439221
3374	26744231
3375	24434919
3376	223439222
3378	24434787
3380	11533495
3381	8147776
3382	223439223
3383	8145869
3384	223439224
3385	56464137
3387	87350407
3388	223439123
3390	24775873
3392	160644692
3393	57269586
3394	223439117
3395	92729944
3396	223439225
3398	92729945
3403	92740960
3404	92740978
3405	223439118
3410	223439226
3412	223439227
3413	223439228
3414	57269582
3415	223439229
3416	223439230
3417	223439231
3418	223439232
3419	92729946
3420	223439233
3421	170474142
3423	11533494
3424	46530918
3425	223439234
3426	223439235
3427	223439236
3429	223439237
3430	223439238
3431	223439239
3432	223439240
3433	223439119
3434	56464170
3436	26676116
3437	56464106
3438	56464136
3439	223439241
3440	135610165
3441	56464135
3443	223439242
3445	223439243
3446	223439244
3447	223439245
3450	223439246
3451	223439247
3452	223439248
3453	223439249
3454	223439250
3455	223439251
3456	223439252
3457	223439253
3458	223439254
3460	223439255
3461	223439256
3462	223439257
3465	223439258
3469	223439259
3470	223439260
3471	223439261
3472	223439262
3474	223439263
3475	223439264
3476	223439265
3477	223439266
3478	87322626
3479	87322627
3480	87322628
3481	87322629
3483	87246407
3484	223439267
3485	92729947
3489	58106756
3490	58106757
